,trade_date,涨停比率,跌停比率,地天板比率,天地板比率,天地板比率剪刀差,涨跌停比率剪刀差,连板比率剪刀差,自由流通市值加权涨跌停比率剪刀差,自由流通市值加权连板比率剪刀差,自由流通市值加权地天与天地板比率剪刀差,pct_chg
177,20230922,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.0038290000000000004,0,0,1.8105
178,20230925,0,0,0,0,0,0,0,0,0,0,-0.6507
179,20230926,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.001918,0,0,-0.5845
180,20230927,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.0012900000000000001,0,0,0.2059
181,20230928,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.0013900000000000002,0,0,-0.2967
182,20231009,0.006666666666666667,0,0,0,0,0.006666666666666667,0,0.006156999999999999,0,0,-0.1298
183,20231010,0,0.0033333333333333335,0,0,0,-0.0033333333333333335,0,-0.0022489999999999997,0,0,-0.7491
184,20231011,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.001885,0,0,0.285
185,20231012,0.006666666666666667,0,0,0,0,0.006666666666666667,0,0.0025570000000000002,0,0,0.9498
186,20231013,0,0,0,0,0,0,0,0,0,0,-1.0526
187,20231016,0,0.006666666666666667,0,0,0,-0.006666666666666667,0,-0.00243,0,0,-1.0049
188,20231017,0.0033333333333333335,0.0033333333333333335,0,0,0,0.0,0,-0.000736,0,0,0.3531
189,20231018,0,0.0033333333333333335,0,0,0,-0.0033333333333333335,0,-0.002117,0,0,-0.792
190,20231019,0,0,0,0,0,0,0,0,0,0,-2.1335
191,20231020,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.001911,0,0,-0.6496
192,20231023,0.0033333333333333335,0.0033333333333333335,0,0,0,0.0,0,-0.003806,0,0,-1.0353
193,20231024,0,0.0033333333333333335,0,0,0,-0.0033333333333333335,0,-0.005234,0,0,0.3709
194,20231025,0,0.006666666666666667,0,0,0,-0.006666666666666667,0,-0.0030239999999999998,0,0,0.4969
195,20231026,0.0033333333333333335,0.006666666666666667,0,0,0,-0.0033333333333333335,0,-2.8000000000000247e-05,0,0,0.2764
196,20231027,0.01,0,0,0,0,0.01,0,0.003297,0,0,1.3727
197,20231030,0.01,0,0,0,0,0.01,0,0.005409000000000001,0,0,0.6003
198,20231031,0,0,0,0,0,0,0,0,0,0,-0.3144
199,20231101,0,0,0,0,0,0,0,0,0,0,-0.0414
200,20231102,0,0,0,0,0,0,0,0,0,0,-0.4715
201,20231103,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.0008500000000000001,0,0,0.8426
202,20231106,0.01,0,0,0,0,0.01,0,0.004697,0,0,1.3524
203,20231107,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0.0033333333333333335,0.001777,0.001777,0,-0.3537
204,20231108,0,0,0,0,0,0,0,0,0,0,-0.24
205,20231109,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.0017399999999999998,0,0,0.0486
206,20231110,0,0,0,0,0,0,0,0,0,0,-0.729
207,20231113,0,0,0,0,0,0,0,0,0,0,-0.1973
208,20231114,0,0,0,0,0,0,0,0,0,0,0.0739
